,X,Y,OBJECTID,ADDRTYPE,LOCATION,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,SDOT_COLCODE,ROADCOND
173620,-122.3111978,47.70851681,173621,Block,NE NORTHGATE WAY BETWEEN 15TH AVE NE AND 17TH AVE NE,0,Unknown,,0,0,0,0,0,0,0,2016-03-19 00:00:00+00:00,14.0,
173621,-122.3387575,47.60413451,173622,Block,ALASKAN WAY BETWEEN MADISON ST AND SPRING ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2016-07-09 00:00:00+00:00,56.0,Dry
173622,-122.346525,47.61514011,173623,Block,BATTERY ST BETWEEN 2ND AVE AND 3RD AVE,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-06-18 00:00:00+00:00,14.0,Dry
173623,-122.2768157,47.50759188,173624,Block,S RYAN WAY BETWEEN M L KING JR WAY S AND CITY LIMITS,0,Unknown,,0,0,0,0,0,0,0,2016-02-12 00:00:00+00:00,14.0,
173624,-122.3555104,47.568926,173625,Block,16TH AVE SW BETWEEN 17TH AVE SW AND SW ANDOVER ST,0,Unknown,,0,0,0,0,0,0,0,2016-04-30 00:00:00+00:00,0.0,
173625,-122.3228658,47.66466028,173626,Block,5TH AVE NE BETWEEN 50TH ST ON RP AND NE 50TH ST,1,Property Damage Only Collision,Parked Car,0,0,0,4,0,0,0,2016-04-29 00:00:00+00:00,14.0,Dry
173626,-122.313093,47.62526476,173627,Block,E ROY ST BETWEEN MALDEN AVE E AND 15TH AVE E,0,Unknown,,0,0,0,0,0,0,0,2016-05-09 00:00:00+00:00,13.0,
173627,-122.376597,47.53648226,173628,Block,35TH AVE SW BETWEEN SW OTHELLO ST AND SW WEBSTER ST,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2016-05-18 00:00:00+00:00,14.0,Dry
173628,-122.3627658,47.5464034,173629,Block,DELRIDGE WAY SW BETWEEN 24TH AVE SW AND 23RD S AVE SW,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,2016-05-04 00:00:00+00:00,11.0,Dry
173629,-122.3224535,47.59708943,173630,Block,8TH AVE S BETWEEN S WELLER ST AND S LANE ST,2,Injury Collision,Parked Car,2,0,0,2,1,0,0,2016-06-11 00:00:00+00:00,14.0,Dry
173630,-122.3278807,47.61664171,173631,Intersection,MELROSE AVE AND OLIVE WAY,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2016-06-23 00:00:00+00:00,11.0,Wet
173631,-122.3446554,47.70179074,173632,Block,AURORA AVE N BETWEEN N 100TH ST AND N 101ST ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2016-06-27 00:00:00+00:00,11.0,Dry
173632,-122.3678651,47.66219541,173633,Intersection,LEARY WAY NW AND NW 46TH ST,2,Injury Collision,Angles,3,0,0,2,1,0,0,2016-06-26 00:00:00+00:00,11.0,Dry
173633,-122.3312836,47.7071727,173634,Block,CORLISS AVE N BETWEEN N 107TH ST AND I5 SB CORLISS AV OFF RP,1,Property Damage Only Collision,Other,2,0,0,2,0,0,0,2016-06-27 00:00:00+00:00,11.0,Dry
173634,-122.3725341,47.54465308,173635,Intersection,SYLVAN WAY SW AND SW MORGAN W ST,1,Property Damage Only Collision,Angles,5,0,0,2,0,0,0,2016-05-15 00:00:00+00:00,11.0,Wet
173635,-122.3040975,47.64396127,173636,Intersection,MONTLAKE BLVD E AND EAST MONTLAKE PL E,1,Property Damage Only Collision,Angles,4,0,0,2,0,0,0,2016-05-14 00:00:00+00:00,11.0,Dry
173636,-122.3411327,47.61004447,173637,Block,1ST AVE BETWEEN PINE ST AND STEWART ST,2,Injury Collision,Other,0,0,0,2,1,0,0,2016-05-26 00:00:00+00:00,14.0,Dry
173637,,,173638,,,1,Property Damage Only Collision,Parked Car,0,0,0,2,0,0,0,2016-04-22 00:00:00+00:00,0.0,Dry
173638,-122.30846,47.59356914,173639,Block,HIAWATHA PL S BETWEEN S CHARLES ST AND S BUSH PL,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-07-06 00:00:00+00:00,14.0,Dry
173639,-122.37678,47.68323792,173640,Intersection,15TH AVE NW AND NW 75TH ST,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,2016-05-26 00:00:00+00:00,11.0,Dry
173640,-122.3196436,47.5983479,173641,Intersection,10TH AVE S AND S KING ST,2,Injury Collision,Other,2,0,0,2,1,0,0,2016-06-20 00:00:00+00:00,28.0,Dry
173641,-122.3289687,47.59880949,173642,Block,4TH AVE S BETWEEN S JACKSON ST AND 2ND AV ET S,1,Property Damage Only Collision,Other,2,0,0,2,0,0,0,2016-06-23 00:00:00+00:00,11.0,Wet
173642,-122.3394375,47.56606066,173643,Block,EAST MARGINAL WAY S BETWEEN ALASKAN WY VI NB AND S NEVADA ST,1,Property Damage Only Collision,Sideswipe,5,0,0,2,0,0,0,2016-06-11 00:00:00+00:00,11.0,Dry
173643,-122.2994687,47.64170674,173644,Block,E MILLER ST BETWEEN 25TH AVE E AND LAKE WASHINGTON BLVD E,1,Property Damage Only Collision,Parked Car,4,0,0,4,0,0,0,2016-06-15 00:00:00+00:00,14.0,Dry
173644,-122.3379991,47.65916171,173645,Block,N 43RD ST BETWEEN WOODLAWN AVE N AND DENSMORE AVE N,0,Unknown,,0,0,0,0,0,0,0,2016-06-07 00:00:00+00:00,0.0,
173645,-122.2879588,47.54608596,173646,Block,S GRAHAM ST BETWEEN 33RD AVE S AND M L KING JR WR WAY S,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-06-29 00:00:00+00:00,14.0,Dry
173646,-122.2854202,47.53887927,173647,Block,S MYRTLE ST BETWEEN 37TH AVE S AND 38TH AVE S,1,Property Damage Only Collision,Other,0,0,0,1,0,0,0,2016-04-20 00:00:00+00:00,26.0,Dry
173647,-122.3833448,47.57763393,173648,Block,WALNUT AVE SW BETWEEN SW FOREST ST AND SW STEVENS ST,2,Injury Collision,Sideswipe,2,0,0,2,1,0,0,2016-05-23 00:00:00+00:00,11.0,Dry
173648,-122.3125536,47.62802048,173649,Block,15TH AVE E BETWEEN E WARD ST AND E PROSPECT S ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-06-18 00:00:00+00:00,14.0,Dry
173649,-122.2701547,47.53644387,173650,Block,RAINIER AVE S BETWEEN S OTHELLO ST AND S FONTANELLE ST,1,Property Damage Only Collision,Other,2,0,0,2,0,0,0,2016-07-01 00:00:00+00:00,14.0,Dry
173650,-122.3012406,47.54935555,173651,Block,BEACON ER AVE S BETWEEN S JUNEAU ST AND S RAYMOND ST,2b,Serious Injury Collision,Pedestrian,2,1,0,1,1,1,0,2016-06-15 00:00:00+00:00,24.0,Dry
173651,-122.3229763,47.68862824,173652,Intersection,5TH AVE NE AND NE ELK PL,2,Injury Collision,Angles,2,0,0,2,1,0,0,2016-06-28 00:00:00+00:00,11.0,Dry
173652,-122.3343117,47.62490588,173653,Block,FAIRVIEW AVE N BETWEEN MERCER ST AND ROY ST,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2016-06-03 00:00:00+00:00,14.0,
173653,-122.3296988,47.61750462,173654,Intersection,HOWELL ST AND YALE AVE,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2016-05-28 00:00:00+00:00,0.0,
173654,,,173655,,,0,Unknown,,0,0,0,0,0,0,0,2016-03-25 00:00:00+00:00,0.0,
173655,-122.3174511,47.66219804,173656,Block,ROOSEVELT WAY NE BETWEEN NE 45TH ST AND NE 47TH ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-06-06 00:00:00+00:00,0.0,Unknown
173656,-122.3288813,47.63030028,173657,Block,FAIRVIEW AVE N BETWEEN YALE AVE N AND FAIRVIEW AVE E,2,Injury Collision,Sideswipe,7,0,0,2,1,0,0,2016-06-12 00:00:00+00:00,11.0,Dry
173657,-122.3942069,47.64390211,173658,Block,29TH AVE W BETWEEN W RAYE ST AND W ARMOUR ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-05-24 00:00:00+00:00,14.0,Dry
173658,-122.3076567,47.60167609,173659,Intersection,19TH AVE AND E YESLER WAY,2,Injury Collision,Left Turn,4,0,0,2,2,0,0,2016-06-26 00:00:00+00:00,11.0,Dry
173659,-122.3278778,47.61685454,173660,Block,MELROSE AVE BETWEEN OLIVE WAY AND E OLIVE PL,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2016-07-04 00:00:00+00:00,11.0,Dry
173660,-122.3563639,47.66246724,173661,Block,N MARKET ST BETWEEN PALATINE AVE N AND N 46TH E ST,0,Unknown,,0,0,0,0,0,0,0,2016-03-19 00:00:00+00:00,14.0,
173661,-122.3620499,47.70349304,173662,Intersection,4TH AVE NW AND NW 103RD ST,2,Injury Collision,Left Turn,3,0,0,2,1,0,0,2016-06-07 00:00:00+00:00,11.0,Dry
173662,-122.2980598,47.63717924,173663,Block,LAKE WASHINGTON BLVD E BETWEEN BOYER AVE E AND E FOSTER ISLAND RD,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2016-06-10 00:00:00+00:00,26.0,Dry
173663,-122.3213934,47.58570796,173664,Block,AIRPORT WAY S BETWEEN S HOLGATE SR ST AND S PLUM ST,1,Property Damage Only Collision,Rear Ended,0,0,0,2,0,0,0,2016-03-28 00:00:00+00:00,14.0,Dry
173664,-122.3159446,47.65361705,173665,Block,NE PACIFIC ST BETWEEN NE BOAT ST AND BROOKLYN AVE NE,1,Property Damage Only Collision,Rear Ended,3,0,0,3,0,0,0,2016-05-18 00:00:00+00:00,14.0,Dry
173665,,,173666,Block,WESTERN AV OFF RP BETWEEN ALASKAN WY VI NB AND BELL ST,2,Injury Collision,Rear Ended,4,0,0,3,1,0,0,2016-04-24 00:00:00+00:00,14.0,Wet
173666,-122.2902581,47.61649721,173667,Intersection,33RD AVE AND E OLIVE ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2016-06-10 00:00:00+00:00,11.0,Dry
173667,-122.3331722,47.60301939,173668,Intersection,2ND AVE AND CHERRY ST,2,Injury Collision,Angles,2,0,0,2,1,0,0,2016-05-15 00:00:00+00:00,11.0,Wet
173668,-122.3142204,47.61389492,173669,Intersection,14TH AVE AND E MADISON ST,1,Property Damage Only Collision,Sideswipe,4,0,0,3,0,0,0,2016-06-07 00:00:00+00:00,11.0,Dry
173669,-122.3294442,47.59239427,173670,Block,S ROYAL BROUGHAM WAY BETWEEN 3RD AVE S AND 4TH AVE S,1,Property Damage Only Collision,Sideswipe,4,0,0,2,0,0,0,2016-06-26 00:00:00+00:00,11.0,Dry
173670,-122.3081275,47.61643328,173671,Block,E MADISON ST BETWEEN 18TH AVE AND 19TH AVE,2,Injury Collision,Sideswipe,2,0,0,2,1,0,0,2016-07-01 00:00:00+00:00,11.0,Dry
173671,-122.3244015,47.60002891,173672,Block,S MAIN ST BETWEEN MAYNARD AVE S AND 7TH AVE S,1,Property Damage Only Collision,Parked Car,3,0,0,2,0,0,0,2016-06-01 00:00:00+00:00,11.0,Dry
173672,-122.3234945,47.73349942,173673,Block,5TH AVE NE BETWEEN 145TH ST OFF RP AND NE 145TH ST,2,Injury Collision,Sideswipe,3,0,0,2,1,0,0,2016-05-16 00:00:00+00:00,14.0,Dry
173673,-122.380607,47.66420826,173674,Block,BALLARD AVE NW BETWEEN NW 48TH ST AND NW DOCK PL,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-05-17 00:00:00+00:00,0.0,Dry
173674,-122.3299907,47.57557409,173675,Intersection,3RD AVE S AND S HANFORD ST,2,Injury Collision,Angles,3,0,0,2,1,0,0,2016-04-13 00:00:00+00:00,14.0,Dry
173675,-122.3235406,47.62428261,173676,Block,E MERCER ST BETWEEN BELMONT AVE E AND BOYLSTON AVE E,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-05-09 00:00:00+00:00,0.0,Dry
173676,-122.3229315,47.68531999,173677,Intersection,5TH AVE NE AND NE 78TH ST,1,Property Damage Only Collision,Rear Ended,0,0,0,2,0,0,0,2016-04-28 00:00:00+00:00,0.0,Dry
173677,-122.2834636,47.53888304,173678,Block,S MYRTLE ST BETWEEN 38TH AVE S AND M L KING JR WR WAY S,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2016-06-17 00:00:00+00:00,11.0,Dry
173678,-122.2991597,47.57967346,173679,Block,RAINIER AVE S BETWEEN S BAYVIEW ST AND S MCCLELLAN ST,0,Unknown,,0,0,0,0,0,0,0,2016-07-04 00:00:00+00:00,0.0,
173679,,,173680,,,0,Unknown,,0,0,0,0,0,0,0,2016-06-02 00:00:00+00:00,0.0,
173680,-122.3184378,47.59834276,173681,Block,S KING ST BETWEEN 10TH AVE S AND 12TH AVE S,1,Property Damage Only Collision,Parked Car,3,0,0,2,0,0,0,2016-06-21 00:00:00+00:00,11.0,Dry
173681,-122.3278548,47.61966064,173682,Block,MELROSE AVE E BETWEEN E DENNY WAY AND E THOMAS ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-05-27 00:00:00+00:00,11.0,Wet
173682,-122.3452749,47.63908489,173683,Block,DEXTER WAY N BETWEEN DEXTER AVE N AND AURORA AVE N,0,Unknown,,0,0,0,0,0,0,0,2016-04-20 00:00:00+00:00,14.0,
173683,-122.3487153,47.64226333,173684,Block,HALLADAY ST BETWEEN 4TH AVE N AND 5TH AVE N,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,2016-06-16 00:00:00+00:00,0.0,Dry
173684,-122.3800919,47.56287257,173685,Intersection,38TH AVE SW AND SW OREGON ST,2,Injury Collision,Angles,3,0,0,2,1,0,0,2016-06-19 00:00:00+00:00,14.0,Dry
173685,-122.3436846,47.62089317,173686,Intersection,7TH AVE N AND THOMAS ST,2,Injury Collision,Right Turn,2,0,0,2,1,0,0,2016-06-25 00:00:00+00:00,11.0,Dry
173686,-122.3154576,47.60805331,173687,Intersection,13TH AVE AND E CHERRY ST,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,2016-06-05 00:00:00+00:00,11.0,Dry
173687,-122.2834636,47.53888304,173688,Block,S MYRTLE ST BETWEEN 38TH AVE S AND M L KING JR WR WAY S,0,Unknown,,0,0,0,0,0,0,0,2016-07-01 00:00:00+00:00,0.0,
173688,-122.3247343,47.59751235,173689,Block,S WELLER ST BETWEEN MAYNARD AVE S AND MAYNARD AL S,0,Unknown,,3,0,0,0,0,0,0,2016-04-28 00:00:00+00:00,0.0,
173689,-122.3768044,47.69151793,173690,Block,15TH AVE NW BETWEEN NW 85TH ST AND NW 87TH ST,0,Unknown,,2,0,0,0,0,0,0,2016-05-23 00:00:00+00:00,0.0,
173690,-122.3478132,47.6141441,173691,Intersection,1ST AVE AND BATTERY ST,2,Injury Collision,Rear Ended,3,0,0,2,1,0,0,2016-06-04 00:00:00+00:00,14.0,Dry
173691,-122.3167076,47.54787666,173692,Block,S BAILEY ST BETWEEN 12TH AVE S AND 13TH AVE S,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-07-03 00:00:00+00:00,11.0,Dry
173692,-122.3643502,47.65856735,173693,Block,LEARY WAY NW BETWEEN 6TH N AVE NW AND NW 43RD ST,0,Unknown,,0,0,0,0,0,0,0,2016-05-31 00:00:00+00:00,14.0,
173693,-122.3167817,47.60309867,173694,Block,12TH AVE BETWEEN E FIR ST AND E SPRUCE ST,2,Injury Collision,Rear Ended,3,0,0,2,2,0,0,2016-06-09 00:00:00+00:00,14.0,Dry
173694,-122.3227595,47.61405743,173695,Block,E PIKE ST BETWEEN BOYLSTON AVE AND HARVARD AVE,1,Property Damage Only Collision,Rear Ended,3,0,0,2,0,0,0,2016-06-20 00:00:00+00:00,14.0,Dry
173695,-122.3579772,47.68983565,173696,Intersection,1ST AVE NW AND NW 84TH ST,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,2016-05-26 00:00:00+00:00,11.0,Dry
173696,-122.3167367,47.62426223,173697,Intersection,12TH AVE E AND E MERCER ST,2,Injury Collision,Angles,5,0,0,2,1,0,0,2016-06-17 00:00:00+00:00,11.0,Wet
173697,-122.3167817,47.60309867,173698,Block,12TH AVE BETWEEN E FIR ST AND E SPRUCE ST,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,2016-06-04 00:00:00+00:00,11.0,Dry
173698,-122.3505197,47.66021608,173699,Block,N 44TH ST BETWEEN EVANSTON AVE N AND FREMONT AVE N,1,Property Damage Only Collision,Parked Car,0,0,0,2,0,0,0,2016-04-28 00:00:00+00:00,16.0,Dry
173699,-122.395431,47.65769614,173700,Block,W ELMORE ST BETWEEN 29TH AVE W AND DEAD END 1,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-05-21 00:00:00+00:00,11.0,Dry
173700,-122.2776641,47.55117602,173701,Intersection,RAINIER AVE S AND S ORCAS ST,1,Property Damage Only Collision,Left Turn,0,0,0,2,0,0,0,2016-04-24 00:00:00+00:00,11.0,Wet
173701,-122.3718554,47.56987701,173702,Block,SW CHARLESTOWN ST BETWEEN 30TH AVE SW AND DEAD END 1,0,Unknown,,0,0,0,0,0,0,0,2016-05-21 00:00:00+00:00,14.0,
173702,-122.3258149,47.63310436,173703,Block,EASTLAKE AVE E BETWEEN FAIRVIEW AVE N AND E GARFIELD ST,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2016-06-30 00:00:00+00:00,28.0,Dry
173703,-122.3436501,47.6185566,173704,Intersection,BOREALIS AVE AND DENNY WAY,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,2016-06-14 00:00:00+00:00,11.0,Dry
173704,-122.3540995,47.63018538,173705,Block,WARREN AVE N BETWEEN HIGHLAND DR AND WARREN N PL,2,Injury Collision,Angles,3,0,0,2,1,0,0,2016-06-03 00:00:00+00:00,11.0,Dry
173705,-122.3423867,47.62030264,173706,Block,DEXTER AVE N BETWEEN JOHN ST AND THOMAS ST,0,Unknown,,0,0,0,0,0,0,0,2016-06-05 00:00:00+00:00,0.0,
173706,-122.3479614,47.66213221,173707,Block,N 46 UPPER ST BETWEEN LINDEN AVE N AND AURORA AVE N,0,Unknown,,0,0,0,0,0,0,0,2016-03-15 00:00:00+00:00,14.0,
173707,-122.3068446,47.58550846,173708,Intersection,20TH AVE S AND S PLUM ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2016-06-07 00:00:00+00:00,11.0,Dry
173708,-122.2790134,47.52611725,173709,Intersection,M L KING JR ER WAY S AND S CLOVERDALE ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2016-06-06 00:00:00+00:00,11.0,Dry
173709,-122.3394393,47.56341172,173710,Block,EAST MARGINAL WAY S BETWEEN S IDAHO ST AND DIAGONAL AVE S,1,Property Damage Only Collision,Other,2,0,0,2,0,0,0,2016-04-08 00:00:00+00:00,11.0,Dry
173710,-122.3527886,47.62500628,173711,Block,2ND AVE N BETWEEN MERCER ST AND ROY ST,0,Unknown,,0,0,0,0,0,0,0,2016-05-22 00:00:00+00:00,13.0,
173711,-122.31276,47.59749164,173712,Intersection,RAINIER AVE S AND S WELLER ST,1,Property Damage Only Collision,Right Turn,3,0,0,2,0,0,0,2016-06-29 00:00:00+00:00,11.0,Dry
173712,-122.3629991,47.55101311,173713,Block,DELRIDGE WAY SW BETWEEN SW FINDLAY ST AND SW JUNEAU ST,2,Injury Collision,Rear Ended,0,0,0,2,1,0,0,2016-04-11 00:00:00+00:00,14.0,Dry
173713,-122.310755,47.66987619,173714,Block,16TH AVE NE BETWEEN NE 56TH ST AND NE RAVENNA EB BV,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-06-21 00:00:00+00:00,13.0,Dry
173714,-122.2878361,47.56281827,173715,Intersection,RAINIER AVE S AND S OREGON ST,1,Property Damage Only Collision,,3,0,0,0,0,0,0,2016-06-08 00:00:00+00:00,14.0,
173715,-122.3043915,47.60167042,173716,Block,E YESLER WAY BETWEEN 21ST AVE AND 22ND AVE,2,Injury Collision,Cycles,0,0,1,1,1,0,0,2016-04-20 00:00:00+00:00,18.0,Dry
173716,-122.329744,47.60346437,173717,Block,JAMES ST BETWEEN 4TH AVE AND 5TH AVE,1,Property Damage Only Collision,Rear Ended,0,0,0,2,0,0,0,2016-05-03 00:00:00+00:00,14.0,Dry
173717,-122.3775494,47.66867108,173718,Block,NW MARKET ST BETWEEN 15TH AVE NW AND 17TH AVE NW,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2016-05-24 00:00:00+00:00,11.0,Dry
173718,-122.3153176,47.59833442,173719,Block,S KING ST BETWEEN 12TH AVE S AND RAINIER AVE S,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2016-06-04 00:00:00+00:00,0.0,Unknown
173719,-122.3174038,47.66493734,173720,Intersection,ROOSEVELT WAY NE AND NE 50TH ST,2,Injury Collision,Angles,3,0,0,2,2,0,0,2016-06-05 00:00:00+00:00,14.0,Dry
173720,-122.3761541,47.63965455,173721,Block,15TH AVE W BETWEEN W BOSTON ST AND W WHEELER ST,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2016-05-17 00:00:00+00:00,14.0,Dry
173721,-122.3865124,47.58209531,173722,Block,CALIFORNIA AVE SW BETWEEN SW COLLEGE ST AND SW ADMIRAL WAY,0,Unknown,,0,0,0,0,0,0,0,2016-01-03 00:00:00+00:00,0.0,
173722,-122.3067064,47.56023467,173723,Block,S COLUMBIAN WAY BETWEEN S ANGELINE W ST AND COLUMBIA DR S,2,Injury Collision,,1,0,0,0,1,0,0,2016-06-26 00:00:00+00:00,29.0,
173723,-122.3554039,47.62457825,173724,Intersection,1ST AVE N AND MERCER ST,2,Injury Collision,Right Turn,3,0,0,2,1,0,0,2016-06-24 00:00:00+00:00,11.0,Dry
173724,-122.3260619,47.73407303,173725,Intersection,4TH AVE NE AND NE 145TH ST,2,Injury Collision,Left Turn,4,0,0,2,2,0,0,2016-04-10 00:00:00+00:00,11.0,Dry
173725,-122.3595077,47.70302582,173726,Block,HOLMAN RD NW BETWEEN 3RD AVE NW AND NW 103RD ST,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2016-06-28 00:00:00+00:00,14.0,Dry
173726,-122.2700021,47.52075616,173727,Block,RAINIER AVE S BETWEEN S FISHER PL AND 51ST AVE S,2,Injury Collision,Other,0,0,0,1,1,0,0,2016-04-29 00:00:00+00:00,26.0,Dry
173727,-122.4010867,47.69472575,173728,Block,VIEW AVE NW BETWEEN GOLDEN GARDENS DR NW AND LOYAL AVE NW,0,Unknown,,1,0,0,0,0,0,0,2016-05-22 00:00:00+00:00,0.0,
173728,-122.3301416,47.66384885,173729,Block,SUNNYSIDE AVE N BETWEEN N 46TH ST AND N 50TH ST,0,Unknown,,0,0,0,0,0,0,0,2016-05-11 00:00:00+00:00,0.0,
173729,-122.3142858,47.66127698,173730,Intersection,BROOKLYN AVE NE AND NE 45TH ST,2,Injury Collision,Pedestrian,0,1,0,1,1,0,0,2016-04-24 00:00:00+00:00,24.0,Dry
173730,-122.3748566,47.66366306,173731,Block,NW LEARY WAY BETWEEN 14TH AVE NW AND 15TH NB AVE NW,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2016-06-10 00:00:00+00:00,11.0,Dry
173731,-122.3789054,47.55744186,173732,Intersection,37TH AVE SW AND SW HUDSON ST,0,Unknown,,0,0,0,0,0,0,0,2016-02-26 00:00:00+00:00,11.0,
173732,-122.349741,47.64614703,173733,Intersection,NICKERSON ST AND WESTLAKE AVE N,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2016-06-03 00:00:00+00:00,51.0,Dry
173733,-122.3225297,47.60648349,173734,Intersection,BOREN AVE AND JAMES ST,1,Property Damage Only Collision,Angles,4,0,0,2,0,0,0,2016-06-19 00:00:00+00:00,11.0,Dry
173734,-122.3075105,47.69077348,173735,Block,LAKE CITY WAY NE BETWEEN NE 85TH ST AND 20TH AVE NE,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2016-06-21 00:00:00+00:00,14.0,Dry
173735,-122.2846062,47.54425844,173736,Block,M L KING JR ER WAY S BETWEEN S ANGEL PL AND S MORGAN ST,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2016-06-06 00:00:00+00:00,14.0,Dry
173736,-122.306357,47.59925471,173737,Intersection,20TH AVE S AND S JACKSON ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2016-06-15 00:00:00+00:00,11.0,Dry
173737,,,173738,Block,ALASKAN WY VI SB BETWEEN ELLIOTT AV ON RP AND COLUMBIA ST ON RP,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2016-05-25 00:00:00+00:00,14.0,Dry
173738,-122.2991597,47.57967346,173739,Block,RAINIER AVE S BETWEEN S BAYVIEW ST AND S MCCLELLAN ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2016-06-24 00:00:00+00:00,11.0,Dry
173739,-122.3270158,47.59919385,173740,Block,S JACKSON ST BETWEEN 5TH AVE S AND 6TH AVE S,2,Injury Collision,Other,2,0,0,1,1,0,0,2016-05-21 00:00:00+00:00,26.0,Dry
173740,-122.3378176,47.61853058,173741,Block,DENNY WAY BETWEEN WESTLAKE AVE AND TERRY AVE,0,Unknown,,0,0,0,0,0,0,0,2016-03-07 00:00:00+00:00,14.0,
173741,-122.3309994,47.61827376,173742,Intersection,STEWART ST AND YALE AVE,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,2016-06-14 00:00:00+00:00,14.0,Dry
173742,,,173743,Block,ALASKAN WY VI NB BETWEEN SENECA ST OFF RP AND WESTERN AV OFF RP,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2016-06-17 00:00:00+00:00,11.0,Dry
173743,-122.3155765,47.6170244,173744,Block,13TH AVE BETWEEN E OLIVE ST AND E HOWELL ST,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,2016-07-10 00:00:00+00:00,13.0,Wet
173744,-122.3429132,47.69055035,173745,Block,N 85TH ST BETWEEN NESBIT AVE N AND MIDVALE AVE N,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2016-06-03 00:00:00+00:00,11.0,
173745,-122.2621316,47.66994539,173746,Intersection,61ST AVE NE AND NE 57TH ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2016-05-29 00:00:00+00:00,11.0,Dry
173746,-122.3569484,47.63656277,173747,Block,QUEEN ANNE AVE N BETWEEN HOWE ST AND CROCKETT ST,0,Unknown,,2,0,0,0,0,0,0,2016-07-05 00:00:00+00:00,11.0,
173747,-122.3290479,47.59193183,173748,Block,4TH AVE S BETWEEN S ROYAL BROUGHAM WAY AND 4TH AVE NB OFF RP,2,Injury Collision,Sideswipe,3,0,0,2,2,0,0,2016-06-07 00:00:00+00:00,14.0,Dry
173748,-122.3413239,47.61206453,173749,Block,VIRGINIA ST BETWEEN 2ND AVE AND 3RD AVE,0,Unknown,,0,0,0,0,0,0,0,2016-06-04 00:00:00+00:00,0.0,
173749,-122.3331039,47.60797946,173750,Intersection,5TH AVE AND SENECA ST,1,Property Damage Only Collision,Right Turn,2,0,0,2,0,0,0,2016-06-22 00:00:00+00:00,11.0,Dry
173750,-122.3141316,47.61096701,173751,Block,14TH AVE BETWEEN E MARION ST AND E SPRING ST,0,Unknown,,0,0,0,0,0,0,0,2016-05-20 00:00:00+00:00,14.0,
